"","OTU","kingdom","phylum","class","order","family","genus","species","s.high","s.low","s.medium","index","stat","p.value","p.adj"
"1","OTU_19","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora_oxyspora",0,0,1,3,0.29305096394195,0.028,1
"2","OTU_62","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",1,0,0,1,0.314971132678521,0.011,1
"3","OTU_55","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_terreus",1,0,0,1,0.232112510529107,0.033,1
"4","OTU_100","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_hennebertii",0,1,0,2,0.32253137259226,0.007,1
"5","OTU_212","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",1,0,0,1,0.343355690882577,0.013,1
"6","OTU_106","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","unidentified","Xylariaceae_sp",1,0,0,1,0.306495371437796,0.037,1
"7","OTU_153","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota_sp",0,0,1,3,0.30663997153535,0.028,1
"8","OTU_608","Fungi","Ascomycota","Sordariomycetes","Microascales","unidentified","unidentified","Microascales_sp",1,0,0,1,0.268023512403444,0.035,1
"9","OTU_204","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Beauveria","Beauveria_sp",1,0,0,1,0.283298518557524,0.021,1
"10","OTU_784","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota_sp",1,0,0,1,0.257528182170398,0.033,1
"11","OTU_437","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales_sp",1,0,0,1,0.299871965123801,0.019,1
"12","OTU_492","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes_sp",1,0,0,1,0.256671029768001,0.035,1
"13","OTU_644","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Poaceascoma","Poaceascoma_sp",1,0,0,1,0.279921380509397,0.023,1
"14","OTU_1043","Fungi","Ascomycota","Sordariomycetes","Microascales","unidentified","unidentified","Microascales_sp",1,0,0,1,0.300953506274643,0.022,1
"15","OTU_682","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales_sp",0,0,1,3,0.306989450545721,0.037,1
"16","OTU_1053","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae","unidentified","Halosphaeriaceae_sp",1,0,0,1,0.244975053660051,0.031,1
"17","OTU_1067","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Phialemoniopsis","Phialemoniopsis_sp",1,0,0,1,0.303332494211682,0.035,1
